name,category,rate,price,time,price_numeric,price_text
Paris: Roland-Garros Stadium Guided Backstage Tour,Guided tour,4.7,"24,074 per person",1.5 hours,24074,per person
Paris: Food and Wine Tasting Walking Tour in Le Marais,Guided tour,4.8,"164,005 per person",3.5 hours,164005,per person
From Paris: Full-Day Guided Tour of Versailles with Lunch,Day trip,4.2,"260,301 per person",9 hours,260301,per person
Paris: Musée de Montmartre and Gardens Entry Ticket,Entry ticket,4.6,"22,569 per person",1 day,22569,per person
Paris: Le Marais Food Tour,Guided tour,4.3,"82,709 per person",3 hours,82709,per person
Paris Night Bicycle Tour & River Cruise,Water activity,4.7,"73,727 per person",4.5 hours,73727,per person
Paris: Private Sightseeing Tour in Citroën 2CV,Private tour,4.8,"166,261 per person",1.5 - 3 hours,166261,per person
Saint-Germain-des-Prés: Pastry and Chocolate Walking Tour,Guided tour,4.7,"164,005 per person",3 hours,164005,per person
Versailles Palace Skip-the-Line Entrance and Breakfast,Entry ticket,4.4,"76,736 per person",1 day,76736,per person
Paris: 2-Hour Segway Tour,Guided tour,4.8,"88,773 per person",2 hours,88773,per person
From Paris: Versailles Guided Tour by Deluxe Minibus,Guided tour,5.0,"216,667 per person",4 hours,216667,per person
Welcome to Paris Day Trip from London via Train,Day trip,4.5,"518,248 per person",14.5 hours,518248,per person
SEA LIFE Paris: Admission Ticket,Entry ticket,4.1,"34,606 per person",1 day,34606,per person
Skip-the-Line: Paris Catacombs Guided Tour with VIP Access,Guided tour,4.6,"194,097 per person",2 hours,194097,per person
"Paris: Loire Valley Chambord Castle, Wine Tasting & Lunch",Day trip,4.8,"451,389 per person",11 hours,451389,per person
Paris: Eiffel Tower 2nd Floor Access Entry Ticket,Entry ticket with host,4.2,"51,834 per person",1 - 2 hours,51834,per person
Eiffel Tower Champagne Lunch and Paris Day Tour from London,Day trip,5.0,"649,976 per person",16 hours,649976,per person
From Le Havre: Paris Guided Day Trip Shore Excursion,Day trip,4.1,"193,375 per person",11 hours,193375,per person
Paris: Graffiti and Street Art Workshop,Workshop or class,4.6,"90,278 per person",2 hours,90278,per person
Romantic Paris Vintage Citroën 2CV Tour,Private tour,4.6,"164,757 per person",2 hours,164757,per person
Versailles: Palace of Versailles Night Fountain Show,Entry ticket,4.5,"54,167 per person",3 hours,54167,per person
Paris Louvre: 2-Hour Private Tour for Groups or Families,Private tour,4.7,"677,083 per group up to 5",2 hours,677083,per group up to 5
Secret Paris 3-Hour Bike Tour,Guided tour,4.4,"64,699 per person",3 hours,64699,per person
Paris: Louvre Highlights 2 hour Skip the Line Guided Tour,Guided tour,4.8,"96,296 per person",2 hours,96296,per person
Paris: Photo Shoot with a Private Travel Photographer,Private tour,4.9,"294,656 per group up to 6",30 minutes,294656,per group up to 6
Paris: French Macarons Baking Class with a Parisian Chef,Workshop or class,4.8,"179,051 per person",3 hours,179051,per person
Versailles: Palace Guided Tour with Skip-the-Line Tickets,Guided tour,4.4,"85,764 per person",1.5 hours,85764,per person
Paris: Belleville Street Art Tour with an Artist,Guided tour,4.9,"52,662 per person",135 minutes,52662,per person
Off-the-Beaten Track in Paris: 2-Hour Vintage 2CV Tour,Private tour,4.7,"149,711 per person",2 hours,149711,per person
From Paris: Versailles Palace and Gardens Guided Expereince,Day trip,4.3,"43,634 per person",6.5 hours,43634,per person
Versailles-Giverny Day Tour with Lunch at Moulin de Fourges,Day trip,4.8,"409,259 per person",9 hours,409259,per person
Paris 2.5-Hour Unique Macaron Cooking Class,Workshop or class,4.9,"173,032 per person",2.5 hours,173032,per person
